Date,temp
20150106 15:30:00,26
20150106 16:00:00,25
20150106 16:30:00,25
20150106 17:00:00,25
20150106 17:30:00,25
20150106 18:00:00,25
20150106 18:30:00,25
20150106 19:00:00,24
20150106 19:30:00,24
20150106 20:00:00,24
20150106 21:30:00,24
20150106 22:00:00,24
20150106 23:00:00,24
20150106 23:30:00,24
20150107 00:00:00,24
20150107 00:30:00,24
20150107 01:00:00,25
20150107 01:30:00,26
20150107 02:00:00,26
20150107 02:30:00,27
20150107 03:00:00,28
20150107 03:30:00,29
20150107 04:00:00,30
20150107 04:30:00,29
20150107 05:00:00,29
20150107 05:30:00,29
20150107 06:00:00,28
20150107 06:30:00,29
20150107 07:00:00,29
20150107 07:30:00,29
20150107 08:00:00,30
20150107 08:30:00,28
20150107 09:00:00,28
20150107 09:30:00,28
20150107 10:00:00,27
20150107 10:30:00,27
20150107 11:00:00,27
20150107 11:30:00,27
20150107 12:00:00,26
20150107 12:30:00,26
20150107 13:00:00,25
20150107 13:30:00,25
20150107 14:00:00,25
20150107 14:30:00,25
20150107 15:00:00,24
20150107 15:30:00,24
20150107 16:00:00,24
20150107 16:30:00,24
20150107 17:00:00,24
20150107 17:30:00,24
20150107 18:30:00,24
20150107 21:00:00,24
20150107 21:30:00,24
20150107 23:00:00,24
20150107 23:30:00,24
20150108 00:00:00,24
20150108 00:30:00,25
20150108 01:00:00,27
20150108 01:30:00,28
20150108 02:00:00,28
20150108 02:30:00,29
20150108 03:00:00,29
20150108 03:30:00,30
20150108 04:00:00,30
20150108 04:30:00,30
20150108 05:00:00,26
20150108 05:30:00,28
20150108 06:00:00,29
20150108 06:30:00,29
20150108 07:00:00,29
20150108 07:30:00,29
20150108 08:00:00,29
20150108 08:30:00,29
20150108 09:00:00,29
20150108 09:30:00,28
20150108 10:00:00,28
20150108 10:30:00,
20150108 11:00:00,27
20150108 11:30:00,27
20150108 12:00:00,27
20150108 12:30:00,27
20150108 13:00:00,26
20150108 13:30:00,26
20150108 14:00:00,26
20150108 14:30:00,26
20150108 15:00:00,26
20150108 15:30:00,26
20150108 16:00:00,26
20150108 16:30:00,25
20150108 17:00:00,25
20150108 17:30:00,25
20150108 18:00:00,25
20150108 18:30:00,25
20150108 19:00:00,25
20150108 19:30:00,25
20150108 20:00:00,24
20150108 20:30:00,24
20150108 21:00:00,25
20150108 21:30:00,25
20150108 22:00:00,25
20150108 22:30:00,25
20150108 23:00:00,25
20150108 23:30:00,26
20150109 00:00:00,25
20150109 00:30:00,26
20150109 01:00:00,27
20150109 01:30:00,28
20150109 02:00:00,28
20150109 02:30:00,28
20150109 03:00:00,29
20150109 03:30:00,29
20150109 04:00:00,29
20150109 04:30:00,29
20150109 05:00:00,31
20150109 05:30:00,30
20150109 06:00:00,30
20150109 06:30:00,31
20150109 07:00:00,31
20150109 07:30:00,31
20150109 08:00:00,31
20150109 08:30:00,31
20150109 09:00:00,29
20150109 10:00:00,29
20150109 10:30:00,28
20150109 11:00:00,28
20150109 11:30:00,27
20150109 12:00:00,27
20150109 12:30:00,27
20150109 13:00:00,27
20150109 13:30:00,27
20150109 14:00:00,26
20150109 15:00:00,26
20150109 16:00:00,25
20150109 16:30:00,25
20150109 17:00:00,25
20150109 17:30:00,24
20150109 18:00:00,24
20150109 18:30:00,24
20150109 19:00:00,24
20150109 19:30:00,24
20150109 20:00:00,24
20150109 20:30:00,24
20150109 21:00:00,24
20150109 21:30:00,24
20150109 22:30:00,24
20150109 23:00:00,24
20150109 23:30:00,24
20150110 00:00:00,25
20150110 00:30:00,25
20150110 01:00:00,25
20150110 01:30:00,27
20150110 02:00:00,27
20150110 02:30:00,28
20150110 03:00:00,29
20150110 03:30:00,29
20150110 04:00:00,29
20150110 04:30:00,29
20150110 05:00:00,29
20150110 05:30:00,30
20150110 06:00:00,29
20150110 06:30:00,29
20150110 07:00:00,29
20150110 07:30:00,29
20150110 08:00:00,28
20150110 08:30:00,27
20150110 09:00:00,27
20150110 09:30:00,28
20150110 10:00:00,28
20150110 10:30:00,27
20150110 11:00:00,27
20150110 11:30:00,27
20150110 12:00:00,27
20150110 12:30:00,26
20150110 13:00:00,26
20150110 13:30:00,26
20150110 14:00:00,26
20150110 14:30:00,26
20150110 15:00:00,26
20150110 15:30:00,25
20150110 16:00:00,25
20150110 16:30:00,25
20150110 17:00:00,24
20150110 17:30:00,24
20150110 18:00:00,24
20150110 18:30:00,24
20150110 19:00:00,24
20150110 19:30:00,23
20150110 20:00:00,23
20150110 20:30:00,23
20150110 21:00:00,23
20150110 21:30:00,24
20150110 22:00:00,24
20150110 22:30:00,24
20150110 23:00:00,24
20150110 23:30:00,24
20150111 00:00:00,24
20150111 00:30:00,25
20150111 01:00:00,25
20150111 01:30:00,26
20150111 02:00:00,26
20150111 02:30:00,27
20150111 03:00:00,27
20150111 03:30:00,28
20150111 04:00:00,29
20150111 04:30:00,29
20150111 05:00:00,30
20150111 05:30:00,31
20150111 06:00:00,31
20150111 06:30:00,31
20150111 07:00:00,31
20150111 07:30:00,30
20150111 08:00:00,31
20150111 08:30:00,30
20150111 09:00:00,30
20150111 09:30:00,29
20150111 10:00:00,29
20150111 10:30:00,28
20150111 11:00:00,28
20150111 11:30:00,27
20150111 12:00:00,27
20150111 12:30:00,27
20150111 13:00:00,27
20150111 13:30:00,27
20150111 14:00:00,26
20150111 14:30:00,26
20150111 15:00:00,26
20150111 15:30:00,26
20150111 16:00:00,25
20150111 16:30:00,25
20150111 17:00:00,25
20150111 17:30:00,25
20150111 18:00:00,25
20150111 18:30:00,25
20150111 19:00:00,24
20150111 19:30:00,24
20150111 20:00:00,24
20150111 20:30:00,23
20150111 21:00:00,23
20150111 21:30:00,23
20150111 22:00:00,23
20150111 22:30:00,23
20150111 23:00:00,23
20150111 23:30:00,22
20150112 00:00:00,23
20150112 00:30:00,23
20150112 01:00:00,25
20150112 01:30:00,26
20150112 02:00:00,27
20150112 02:30:00,28
20150112 03:00:00,29
20150112 03:30:00,29
20150112 04:00:00,30
20150112 04:30:00,30
20150112 05:00:00,30
20150112 05:30:00,30
20150112 06:00:00,31
20150112 06:30:00,31
20150112 07:00:00,31
20150112 07:30:00,30
20150112 08:00:00,31
20150112 08:30:00,30
20150112 09:00:00,30
20150112 09:30:00,29
20150112 10:00:00,29
20150112 10:30:00,28
20150112 11:00:00,28
20150112 11:30:00,27
20150112 12:00:00,27
20150112 12:30:00,27
20150112 13:00:00,26
20150112 13:30:00,26
20150112 14:00:00,26
20150112 14:30:00,26
20150112 15:00:00,25
20150112 15:30:00,26
20150112 16:00:00,24
20150112 16:30:00,24
20150112 17:00:00,24
20150112 17:30:00,24
20150112 18:00:00,24
20150112 18:30:00,24
20150112 20:30:00,24
20150112 21:00:00,23
20150112 22:00:00,24
20150112 22:30:00,24
20150112 23:00:00,23
20150112 23:30:00,23
20150113 00:00:00,23
20150113 00:30:00,24
20150113 01:00:00,25
20150113 01:30:00,26
20150113 02:00:00,27
20150113 02:30:00,28
20150113 03:00:00,29
20150113 03:30:00,29
20150113 04:00:00,30
20150113 04:30:00,30
20150113 05:00:00,30
20150113 05:30:00,31
20150113 06:00:00,31
20150113 06:30:00,31
20150113 07:00:00,31
20150113 07:30:00,31
20150113 08:00:00,31
20150113 08:30:00,30
20150113 09:00:00,30
20150113 09:30:00,30
20150113 10:00:00,30
20150113 10:30:00,29
20150113 11:00:00,28
20150113 11:30:00,28
20150113 12:00:00,27
20150113 12:30:00,27
20150113 13:00:00,26
20150113 13:30:00,26
20150113 14:00:00,26
20150113 14:30:00,26
20150113 15:00:00,25
20150113 15:30:00,25
20150113 16:00:00,25
20150113 16:30:00,25
20150113 17:00:00,25
20150113 17:30:00,24
20150113 18:00:00,24
20150113 18:30:00,24
20150113 19:00:00,24
20150113 19:30:00,24
20150113 20:00:00,24
20150113 20:30:00,24
20150113 21:00:00,24
20150113 21:30:00,23
20150113 22:00:00,22
20150113 22:30:00,22
20150113 23:00:00,22
20150113 23:30:00,22
20150114 00:00:00,22
20150114 00:30:00,25
20150114 01:00:00,26
20150114 01:30:00,27
20150114 02:00:00,28
20150114 02:30:00,28
20150114 03:00:00,29
20150114 03:30:00,29
20150114 04:00:00,30
20150114 04:30:00,30
20150114 05:00:00,30
20150114 05:30:00,31
20150114 06:00:00,30
20150114 06:30:00,30
20150114 07:00:00,31
20150114 07:30:00,30
20150114 08:00:00,31
20150114 08:30:00,31
20150114 09:00:00,30
20150114 09:30:00,30
20150114 10:00:00,29
20150114 10:30:00,28
20150114 11:00:00,28
20150114 11:30:00,27
20150114 12:00:00,27
20150114 12:30:00,27
20150114 13:00:00,26
20150114 13:30:00,26
20150114 14:00:00,26
20150114 14:30:00,25
20150114 15:00:00,25
20150114 15:30:00,25
20150114 16:00:00,25
20150114 16:30:00,25
20150114 17:00:00,25
20150114 17:30:00,24
20150114 18:00:00,24
20150114 18:30:00,23
20150114 19:00:00,23
20150114 19:30:00,23
20150114 20:00:00,23
20150114 20:30:00,23
20150114 21:00:00,23
20150114 21:30:00,22
20150114 22:00:00,22
20150114 22:30:00,22
20150114 23:00:00,22
20150114 23:30:00,22
20150115 00:00:00,22
20150115 00:30:00,23
20150115 01:00:00,25
20150115 01:30:00,25
20150115 02:00:00,27
20150115 02:30:00,27
20150115 03:00:00,28
20150115 03:30:00,29
20150115 04:00:00,29
20150115 04:30:00,29
20150115 05:00:00,30
20150115 05:30:00,30
20150115 06:00:00,31
20150115 06:30:00,31
20150115 07:00:00,31
20150115 07:30:00,31
20150115 08:00:00,31
20150115 08:30:00,31
20150115 09:00:00,30
20150115 09:30:00,30
20150115 10:00:00,29
20150115 10:30:00,28
20150115 11:00:00,28
20150115 11:30:00,27
20150115 12:00:00,26
20150115 12:30:00,26
20150115 13:00:00,25
20150115 13:30:00,25
20150115 14:00:00,25
20150115 14:30:00,25
20150115 15:00:00,24
20150115 15:30:00,24
20150115 16:00:00,24
20150115 16:30:00,24
20150115 17:00:00,23
20150115 17:30:00,23
20150115 18:00:00,23
20150115 18:30:00,22
20150115 19:00:00,22
20150115 19:30:00,22
20150115 20:00:00,22
20150115 20:30:00,22
20150115 21:00:00,22
20150115 21:30:00,22
20150115 22:00:00,22
20150115 22:30:00,21
20150115 23:00:00,21
20150115 23:30:00,21
20150116 00:00:00,21
20150116 00:30:00,22
20150116 01:00:00,24
20150116 01:30:00,25
20150116 02:00:00,26
20150116 02:30:00,27
20150116 03:00:00,28
20150116 03:30:00,29
20150116 04:00:00,29
20150116 04:30:00,29
20150116 05:00:00,30
20150116 05:30:00,30
20150116 06:00:00,30
20150116 06:30:00,30
20150116 07:00:00,31
20150116 07:30:00,30
20150116 08:00:00,30
20150116 08:30:00,30
20150116 09:00:00,29
20150116 09:30:00,29
20150116 10:00:00,29
20150116 10:30:00,28
20150116 11:00:00,28
20150116 11:30:00,26
20150116 12:00:00,26
20150116 12:30:00,26
20150116 13:00:00,25
20150116 13:30:00,25
20150116 14:00:00,24
20150116 14:30:00,24
20150116 15:00:00,24
20150116 15:30:00,24
20150116 16:00:00,23
20150116 16:30:00,23
20150116 17:00:00,22
20150116 17:30:00,22
20150116 18:00:00,22
20150116 19:00:00,21
20150116 21:30:00,21
20150116 22:00:00,21
20150116 22:30:00,21
20150116 23:00:00,21
20150116 23:30:00,20
20150117 00:00:00,21
20150117 00:30:00,22
20150117 01:00:00,23
20150117 01:30:00,25
20150117 02:00:00,26
20150117 02:30:00,26
20150117 03:00:00,27
20150117 03:30:00,28
20150117 04:00:00,28
20150117 04:30:00,28
20150117 05:00:00,29
20150117 05:30:00,29
20150117 06:00:00,30
20150117 06:30:00,30
20150117 07:00:00,29
20150117 07:30:00,30
